active,byline,city,currency,description,end_date,funded_amt,funded_pct,headline,state,title,url
1,Dyslexie Font,Amsterdam,€,"Dyslexie Font makes reading more accessible. Now, introducing 3 new tools to help!",2016-11-21,1599,4%,Dyslexie Font: Improving Reading for Dyslexics,North Holland,Dyslexie Font:,https://www.kickstarter.com/projects/479982674/dyslexie-font-improving-reading-for-dyslexics?ref=category
1,UGEARS,Miami,$,"Wooden self-propelled 3D models for self-assembly and hobby.
Santa has already ordered one:)",2016-10-24,92388,615%,UGEARS: Christmas mechanical symphony,FL,UGEARS:,https://www.kickstarter.com/projects/978262034/ugears-christmas-mechanical-symphony?ref=category
1,iLuun Inc,Dallas,$,"iLuun Air Allows You To Wirelessly Store & Share Photos & Videos, Transfer Files & Media, and Stream HD Movies Using Your Mobile Device",2016-11-16,23987,47%,iLuun Air: Never Run Out Of Storage On Your Phone Again!,TX,iLuun Air:,https://www.kickstarter.com/projects/791937129/iluun-the-first-wireless-usb30-flash-drive-for-sma?ref=category
1,Loki Products,Kirkland,$,The world’s most advanced meat thermometer delivers cooking perfection and mobile notifications.,2016-11-16,22859,45%,Loki - The Smart WiFi Meat Thermometer,WA,Loki -,https://www.kickstarter.com/projects/lokiproducts/loki-the-smart-wifi-meat-thermometer?ref=category
1,Stacked,Los Angeles,$,"A Smartphone Mount That Helps You Capture The Moment With Facial Tracking, Automated Videos and Pictures, Timelapse and Panoramas",2016-10-30,161003,460%,Picbot - An Automated Motorized Picture And Video Bot,CA,Picbot -,https://www.kickstarter.com/projects/1597931194/picbot-an-automated-motorized-picture-and-video-bo?ref=category
1,No Bull Sports,Fresno,$,We are an online sports community that strives to empower young female athletes to reach their full potential.,2016-10-22,3519,140%,No Bull Sports,CA,No Bull Sports,https://www.kickstarter.com/projects/nobull/no-bull-sports?ref=category
1,Litra,Austin,$,"LitraTorch - World's most versatile adventure ready LED light - for pro photo, video, underwater, bike, camp, drone, safety and fun.",2016-11-09,24316,97%,LitraTorch-World's Most Versatile Adventure Ready LED Light,TX,LitraTorch-,https://www.kickstarter.com/projects/415736264/litratorch-worlds-most-versatile-adventure-ready-l?ref=category
1,Biomechanical Robotics Group Inc.,Iowa City,$,"Learn how to program, use sensors, and micro-controllers!  Join our movement to bring high-functional prostheses to the market!",2016-11-08,8631,86%,Hobby Hand 2.0 - Prosthetic Hand Robotics Kit,IA,Hobby Hand 2.0 -,https://www.kickstarter.com/projects/biomechrg/hobby-hand-20-prosthetic-hand-robotics-kit?ref=category
1,AIRY GreenTech,Hamburg,€,Plants can purify the air. But how? With their roots! AIRY is the first plant pot to ventilate the root system. The result: Fresh air.,2016-11-18,18674,46%,AIRY box - Your natural and highly effective air purifier,Hamburg,AIRY box -,https://www.kickstarter.com/projects/airy/airy-box-your-natural-and-highly-effective-air-pur?ref=category
1,M.Meyer,Deutsch,€,Drive like Ken Block with our 125ccm engine powered drift bike - Feel the road and become one with your cycle and the asphalt!,2016-10-27,4023,26%,MOTORIZED DRIFT - TRICYCLE | ADAPT THE NEW WAY TO DRIVE,Saxony-Anhalt,MOTORIZED DRIFT -,https://www.kickstarter.com/projects/2023897456/motorized-drift-tricycle-adapt-the-new-way-to-driv?ref=category
1,Mark Bollobas,London,$,Take learning and playing with LEGO® to the next level with sensors! Build creations with SBrick Plus and make them interactive!,2016-11-07,50443,100%,Connect. Code. Create. With SBrick Plus,England,Connect.,https://www.kickstarter.com/projects/sbrick/connect-code-create-with-sbrick-plus?ref=category
1,STEMTera,Niwot,$,"The world's first Arduino compatible built-in breadboard with Arduino shields, LEGO® bricks and native USB support.",2016-10-28,48279,137%,STEMTera Breadboard - Arduino compatible built-in breadboard,CO,STEMTera Breadboard - Arduino compatible built-,https://www.kickstarter.com/projects/stemtera/stemtera-breadboard-arduino-compatible-built-in-br?ref=category
1,Dexter Industries,Reston,$,Learn to code like a spy with robots! Capture-the-flag engineering adventure teaches coding skills using robots and the Raspberry Pi.,2016-11-04,7957,26%,Spy v. sPi Robot Coding Missions: Code. Capture. Defend.,VA,Spy v. sPi Robot Coding Missions:,https://www.kickstarter.com/projects/john-cole/spy-v-spi-robot-missions-code-capture-defend?ref=category
1,AERVIDEO,Enschede,€,"AER lets you shoot aerial photos and videos, simply by throwing your GoPro®! Compatible with GoPro® HERO 3+, 4 and 5.",2016-11-03,85471,122%,AER - Throw your GoPro®,Overyssel,AER -,https://www.kickstarter.com/projects/1025667430/aer-throw-your-gopro?ref=category
1,Flag,Venice,$,"An app that delivers 20 free photo prints a month, with no shipping or handling fees, more detail, better color and 300 year longevity.",2016-10-28,235602,2356%,Flag・free photo prints - forever!,CA,Flag・free photo prints -,https://www.kickstarter.com/projects/flag/flagfree-photo-prints-forever?ref=category
1,Stefan Ponsold,Graz,€,6 Watt flexible solar system with less than 200 grams + 5000mAh power bank. Support us now and don't think about empty batteries again.,2016-10-23,54423,247%,SunnyBAG LEAF+ The world's strongest and lightest solarpanel,Styria,SunnyBAG,https://www.kickstarter.com/projects/sunnybag/sunnybag-leaf?ref=category
1,Petunia Tech,Pasadena,$,"The new generation of programmers that uses WiFi instead of cables.
Program, control and monitor Robots, AVR and Arduino over WiFi.",2016-11-07,4692,11%,Build Your Own WiFi-Robot with WiLoader !,CA,Build Your Own WiFi-,https://www.kickstarter.com/projects/petuniatech/wiloader-the-wifi-programmer-for-avr?ref=category
1,Ben Kardoosh,Sheffield,£,The next generation drone claw from Mantis Technology,2016-11-01,3473,34%,Mantis Carbon,England,Mantis Carbon,https://www.kickstarter.com/projects/465382488/mantis-carbon?ref=category
1,codebender,Patras,$,"Easy-to-use professional Cloud IDE for ESP8266 & ESP32 w USB & OTA programming. Ideal for Arduino, Makers, H/W Hackers, & IoT products.",2016-10-26,5809,9%,codebender:esp - Cloud IDE with Over-the-Air Updates for ESP,Peloponnese Western Greece and the Ionian Islands,codebender:esp - Cloud IDE with Over-the-,https://www.kickstarter.com/projects/1014603132/codebender-esp-cloud-ide-with-over-the-air-updates?ref=category
1,Fuzure Innovations LLC.,Ogden,$,Smartkase makes your iPhone Dual Sim capable - Doubles its Battery Life & Lets you add a Memory Card to your iPhone.,2016-11-11,90803,181%,Smartkase for iPhone 7 - Dual Sim +Memory Card +Battery Case,UT,Smartkase for iPhone 7 -,https://www.kickstarter.com/projects/1490144222/smartkase?ref=category
1,Aalberg Audio,Trondheim,kr,"World’s first wireless preset and expression controller: Bluetooth control of all your favourite amplifiers, stompboxes and MIDI units",2016-11-05,71459,28%,MOON Switcher: Wireless Control of All Your Guitar Gear,Sor-Trondelag,MOON Switcher:,https://www.kickstarter.com/projects/696333214/moon-switcher-wireless-control-of-all-your-guitar?ref=category
1,Team Hicat,Shenzhen,$,"Livera aims to bring low cost machine vision features to let more people DIY their own robot, spoting and collecting more fun in life",2016-11-16,36094,721%,Hicat.livera - Start making your first machine vision robot,Guangdong,Hicat.livera -,https://www.kickstarter.com/projects/945994322/hicatlivera-start-making-your-first-machine-vision?ref=category
1,Joobot Inc,Houston,$,"WiFi-enabled DSLR remote with live-view, time-lapse, four built-in triggering sensors, and shoot & push to make photography more fun!",2016-11-13,64268,214%,CamBuddy Pro: World's First Do-It-All DSLR Smart Controller,TX,CamBuddy Pro: World's First Do-It-,https://www.kickstarter.com/projects/881726279/cambuddy-pro-worlds-first-all-in-one-dslr-smart-co?ref=category
1,Trinity Audio Engineering,Derbyshire,£,"Phantom Air is the NEW benchmark for wireless earbuds. Tuneable, high quality sound and high battery life that recharges on the go.",2016-10-26,87062,133%,World's First Tuneable Wireless Earbuds,England,World's,https://www.kickstarter.com/projects/157887895/worlds-first-tuneable-wireless-earbuds?ref=category
1,"Daniela, Daniel, and Oluwaseyi",London,£,The first 3D creation tool designed for touch and gesture input. Popular on tablet - and soon for desktop and VR.,2016-10-29,6689,13%,Gravity Sketch - An Intuitive 3D Design Tool for Everyone,England,Gravity Sketch -,https://www.kickstarter.com/projects/gravitysketch/gravity-sketch-vr-an-intuitive-3d-design-tool-for?ref=category
1,I AM Cardboard,Hong Kong,$,Create and share better spherical panoramas on your smartphone with the Orbit 360 and our new super-compact virtual reality viewers.,2016-10-17,60967,304%,Orbit 360: A better way to take spherical panoramas,Hong Kong Island,Orbit 360:,https://www.kickstarter.com/projects/imcardboard/orbit-360-a-better-way-to-take-spherical-panoramas?ref=category
1,Brett Pipitone,Cincinnati,$,mimic immerses the user in it's world.  Through revolutionary controls and immersion goggles you become an adorable 12 inch tall robot.,2016-11-05,10307,4%,mimic: immersion robot,OH,mimic:,https://www.kickstarter.com/projects/713401305/mimic-immersion-robot?ref=category
1,NXROBO,Mckinney,$,"BIG-i is here to help you and your family. Simply tell BIG-i what needs to be done, it brings convenience of the future into your home.",2016-11-04,145610,145%,BIG-i: The First Personalized Family Robot,TX,BIG-i:,https://www.kickstarter.com/projects/759625594/big-i-the-first-personalized-family-robot?ref=category
1,Robo,San Diego,$,"Features Wi-Fi connectivity, built-in color touch screens and more, all powered by The Robo App",2016-10-21,315123,315%,Robo C2 and Robo R2 Smart 3D Printers,CA,Robo,https://www.kickstarter.com/projects/1238702276/robo-c2-and-robo-r2-smart-3d-printers?ref=category
1,JP,Amsterdam,€,"Since time is so important in our way of thinking and acting, we would like you to enjoy time. Get a smile on your face with Cucu!",2016-11-07,4829,1%,CuCu - reinventing the cuckoo clock & control it via an app,North Holland,CuCu -,https://www.kickstarter.com/projects/1857513715/cucu-reinventing-the-cuckoo-clock-and-control-it-v?ref=category
1,Jaime Ruiz-Avila,Austin,$,World's first desktop holographic display.  It draws objects in air with light.,2016-11-11,9332,20%,Holovect: Holographic Vector Display,TX,Holovect:,https://www.kickstarter.com/projects/2029950924/holovect-holographic-vector-display?ref=category
1,Arenar,Amsterdam,€,"Experience lucid dreams - Improve sleep with music that intelligently adjusts to your sleep phases - Wake up refreshed, every time!",2016-10-27,464223,928%,iBand+: EEG headband that helps you Sleep and Dream!,North Holland,iBand+:,https://www.kickstarter.com/projects/arenar/iband-eeg-headband-that-helps-you-sleep-and-dream?ref=category
1,Tony Pearce,Alpine,$,"No more lumpy foam, stabby feathers and melty memory foam. Introducing the Purple® Pillow, the first innovation in pillows since geese.",2016-10-22,1342451,5369%,Purple® Pillow: The World's First No-Pressure Head Bed,UT,Purple® Pillow: The World's First No-,https://www.kickstarter.com/projects/227992716/purple-pillow-the-worlds-first-no-pressure-head-be?ref=category
1,Hind Technology,Sydney,$,"MASSO, The All-In-One CNC Controller that doesn't need a PC to run.",2016-10-23,16842,18%,"MASSO, The All-In-One CNC Controller",NSW,"MASSO, The All-In-",https://www.kickstarter.com/projects/hindtechnology/masso-the-all-in-one-cnc-controller?ref=category
1,Team Dreampad,Denver,$,"The Dreampad is a mind-relaxing, sleep-inducing luxury pillow that plays music through gentle vibration that only you can hear.",2016-11-10,78069,156%,Dreampad Pillow: Reduce Stress. Improve Sleep. Guaranteed.,CO,Dreampad Pillow:,https://www.kickstarter.com/projects/682754329/dreampad-pillow-reduce-stress-improve-sleep-guaran?ref=category
1,Ecomo Inc.,Mountain View,$,"Shake to test, twist to filter: A Smart Bottle that helps you to get rid of contaminants",2016-11-19,160699,321%,Ecomo: The World’s First Bottle That Tests & Filters Water,CA,Ecomo:,https://www.kickstarter.com/projects/ecomo/ecomo-the-worlds-first-bottle-that-tests-and-filte?ref=category
1,Glauco,Milan,€,"Revolt is the proof that a personal transportation aircraft can be easy, comfortable and cheap at the same time.",2016-10-19,31452,33%,REVOLT - Your revolutionary and affordable aircraft.,Lombardy,REVOLT -,https://www.kickstarter.com/projects/1897260901/revolt-your-revolutionary-and-affordable-aircraft?ref=category
1,Maker Pipe,Clemson,$,A simple system of connectors that allows you to build anything with electrical metal conduit.,2016-10-30,64747,647%,Maker Pipe - Build Anything with Electrical Conduit,SC,Maker Pipe -,https://www.kickstarter.com/projects/520849858/maker-pipe-build-anything-with-electrical-conduit?ref=category
1,Pree Walia,Menlo Park,$,Nailbot prints custom art directly on nails with your phone in 5 seconds! 3% of proceeds go towards teaching the tech behind Nailbot!,2016-11-14,62847,83%,Nailbot - The Smartphone Nail Art Printer,CA,Nailbot -,https://www.kickstarter.com/projects/907640389/nailbot-the-smartphone-nail-art-printer?ref=category
1,8Bitdo,Hong Kong,$,"The AP40 is a Bluetooth controller inspired by Apple's original retro logo. It is compatible with iOS / Android, PC, Mac and more.",2016-10-26,158149,126%,"AP40: a Bluetooth Controller for iOS/Android, Mac/PC & More",Hong Kong Island,"AP40: a Bluetooth Controller for iOS/Android,",https://www.kickstarter.com/projects/8bitdo/ap40-a-bluetooth-controller-for-ios-android-mac-pc?ref=category
1,Hong Wang,New York,$,"Clutchit!-patent pending technology- is the world's safest, most convenient and most stylish Phone Holder+Mount+Stand, all in one!",2016-11-13,8639,17%,ClutchIt! : The World's First Anywhere Magnetic Phone Mount,NY,ClutchIt! :,https://www.kickstarter.com/projects/thatsclutch/clutchit-the-worlds-first-magnetic-anywhere-phone?ref=category
1,Chad 'Chadtech' Stearns,Phoenix,$,"CtPaint is web-connected image editing software. Its perfect for pixel art. It can open, edit, and save any image on the web.",2016-11-14,451,0%,"CtPaint, the simple paint software missing from the internet",AZ,"CtPaint,",https://www.kickstarter.com/projects/613927423/ctpaint-the-simple-paint-software-missing-from-the?ref=category
1,"MOTI, Inc.",San Francisco,$,"MOTI gives you tangible reminders and instant gratification to build a better you. Backed by science, built with design.",2016-10-19,106416,212%,MOTI | Your Smart Companion for Better Habits,CA,MOTI,https://www.kickstarter.com/projects/habitmoti/moti-your-smart-companion-for-better-habits?ref=category
1,GeeFi,New York,$,Unlimited Worldwide 4G Wi-Fi | No Roaming Fees | No SIM Cards | 100+ Countries | Connect up to 10 Devices | 5000maH Charger,2016-10-24,156354,781%,GeeFi | Unlimited 4G Wi-Fi Everywhere You Travel,NY,GeeFi | Unlimited 4G Wi-,https://www.kickstarter.com/projects/geefi/geefi-unlimited-4g-wi-fi-everywhere-you-travel?ref=category
1,FARASHA LLC,San Francisco,$,"The world’s first autonomous smartwatch that tracks cardiovascular health, blood pressure and customizes your workouts !",2016-11-05,232994,232%,SOWATCH,CA,SOWATCH,https://www.kickstarter.com/projects/761213838/sowatch?ref=category
1,WAZER,Bronx,$,Cut any material with digital precision using high pressure water. A compact waterjet for every workshop.,2016-11-11,1398519,1398%,The First Desktop Waterjet Cutter,NY,The,https://www.kickstarter.com/projects/1294137530/the-first-desktop-waterjet-cutter?ref=category
1,Peng Lee,San Jose,$,XPUMP unleashes immersive sound with the touch of your fingertips. Hear the difference.,2016-10-21,165639,662%,XPUMP | TURN ANY SOUND SOURCE INTO A HOME THEATER EXPERIENCE,CA,XPUMP,https://www.kickstarter.com/projects/819767230/xpump-turn-any-sound-source-into-a-home-theater-ex?ref=category
1,McBee Audio Labs by Daniel McBrearty,Antwerp,€,The Mighty Flea combines the sound and looks of a vintage guitar amp with the portability of a laptop.,2016-10-19,2346,29%,The Mighty Flea - The Jazz Guitar Amp That Goes Where You Go,Antwerp,The Mighty Flea -,https://www.kickstarter.com/projects/danmcb/the-mighty-flea-the-jazz-guitar-amp-that-goes-wher?ref=category
1,Motion Engineering,France,€,Say au revoir to brake dive! The world’s first MTB fork with a 100% anti-dive system: safer riding and better all-round performance.,2016-11-12,29187,14%,Motion France : Dynamic Anti-Dive MTB Fork,Auvergne,Motion France : Dynamic Anti-,https://www.kickstarter.com/projects/929331044/motion-france-dynamic-anti-dive-mtb-fork?ref=category
1,S.H.E.N,London,£,Creating a low-cost open-source arsenic detector as an emergency response tool for use in refugee camps,2016-10-31,793,26%,Low-cost open-source arsenic detector for drinking water,England,Low-cost open-,https://www.kickstarter.com/projects/1499966707/low-cost-open-source-arsenic-detector-for-drinking?ref=category
1,Houman Nikmanesh,San Diego,$,"Powerful. Portable. Modular.  The World’s smallest water propulsion system for your snorkeling, diving, paddling & kayaking adventures.",2016-10-14,92246,73%,Bixpy Jet - The Most Powerful and Adaptive Water Jet Drive,CA,Bixpy Jet -,https://www.kickstarter.com/projects/bixpy/bixpy-jet-modular-and-portable-waterjet-propulsion?ref=category
1,ScratchyCAD,Norfolk,$,"Easy to learn 3D design software for 3D printing, animation, and game creation using a block based programming language.",2016-11-15,2936,11%,ScratchyCAD: Parametric 3D Design Software For Everyone.,VA,ScratchyCAD:,https://www.kickstarter.com/projects/862048718/scratchycad-parametric-3d-design-software-for-ever?ref=category
1,Tiny Labs,San Diego,$,Copy and consolidate up to four RFID keyfobs/keycards.,2016-10-28,35236,176%,Keysy - The RFID Duplicator,CA,Keysy -,https://www.kickstarter.com/projects/tinylabs/keysy-the-rfid-duplicator?ref=category
1,Chipsetter,Hamilton,$,"The reliable and affordable desktop pick-and-place machine for every workshop. Assemble your own PCB prototypes, get to market faster.",2016-10-27,73201,52%,Chipsetter ONE: A desktop pick-and-place machine,ON,Chipsetter ONE: A desktop pick-and-,https://www.kickstarter.com/projects/chipsetter/chipsetter-one-a-desktop-pick-and-place-machine?ref=category
1,Leafboard,Walnut,$,"Weighing 9.7 lbs and achieving speeds of up to 19 mph, Leafboard is the lightest electric skateboard affordable for everyone.",2016-11-05,194822,389%,"Leafboard, Super Portable and Stylish Electric Skateboard",CA,"Leafboard,",https://www.kickstarter.com/projects/leafboard/the-lightest-and-most-affordable-electric-skateboa?ref=category
1,QingYing E&T LLC,Shanghai,$,"A tiny digital microscope - slim, easy lens switching, flexible with additional modules for transmission and polarizing function.",2016-10-27,3795,12%,iMICROSCOPE RT - a solid professional smartphone microscope,Shanghai,iMICROSCOPE RT -,https://www.kickstarter.com/projects/1289187249/imicroscope-rt-a-solid-professional-smartphone-mic?ref=category
1,Boris Zarco,Florence,€,"Where is Internet, Internet anywhere at low cost",2016-10-19,2,0%,Where is Internet,Tuscany,Where is Internet,https://www.kickstarter.com/projects/1104587638/where-is-internet?ref=category
1,Lightning 3D,Nottingham,£,"High performance, Double exposure 3D printing. 3.8cm per hour print speed, switchable 30 or 62 micron xy resolution.",2016-10-14,28821,144%,"Lightning - Double Exposure, UV DLP 3D Printer",England,"Lightning - Double Exposure,",https://www.kickstarter.com/projects/82986351/lightning-double-exposure-uv-dlp-3d-printer?ref=category
1,Rae Pufal,Miami,$,The Beer Machine uses your fingerprint to access beer in the fridge. The Beer Machine counts the beer you and your friends drink.,2016-12-06,11451,10%,The Beer Machine that keeps track of who's drink'n the beer!,FL,The,https://www.kickstarter.com/projects/198186652/the-beer-machine-that-keeps-track-of-whos-drinkn-t?ref=category
1,Nadine Dzolic,Nürnberg,€,"Eine einzigartige Babyliege - entwickelt, um Neugeborene und Eltern in den ersten Lebenswochen zu begleiten.",2016-11-22,5,0%,"Elvinn - Das Leben, angestimmt mit entspannten Saiten",Bavaria,"Elvinn - Das Leben,",https://www.kickstarter.com/projects/199482118/elvinn-das-leben-angestimmt-mit-entspannten-saiten?ref=category
1,Danny Noall,Salt Lake City,$,Custom flavor control with the turn of a dial. Attaches to ANY hydration pack in seconds. Flavor back-flow preventer.,2016-10-24,6756,56%,Infuze | | The World's First Hydration Pack Flavor Infuser,UT,Infuze,https://www.kickstarter.com/projects/infuze/infuze-the-worlds-first-hydration-pack-flavor-infu?ref=category
1,Brian Sanders,Salem,$,"A new LED retrofit module that is energy efficient, cool operating, easily installed, easily serviced, designed and made in the USA.",2016-11-27,450,0%,ClearLight LED Fluorescent Light Retrofit Module,NH,ClearLight,https://www.kickstarter.com/projects/384229302/clearlight-led-fluorescent-light-retrofit-module?ref=category
1,André Nydegger Wermundsen,Trondheim,kr,Objektiv. Troverdig. Enkel. Sjekk Maten gir deg sannheten om matvarene basert på norske myndigheters kostholdsråd,2016-10-19,31700,25%,Sjekk Maten - din kostholdsekspert i lommeformat,Sor-Trondelag,Sjekk Maten -,https://www.kickstarter.com/projects/armanvestad/sjekk-maten-din-kostholdsekspert-i-lommeformat?ref=category
1,"Leung, Oltea - W.K.",Hong Kong,$,A Lovingly Handcrafted Walnut Wood Bluetooth Vacuum Tube Amplifier. An audiophile must-have | design| technology| vintage| retro| OOAK,2016-11-18,30593,38%,MiaMusica Bluetooth 4.2 aptX® LL Tube Amplifier | Music Tech,Hong Kong Island,MiaMusica,https://www.kickstarter.com/projects/otl/miamusica-bluetooth-42-aptx-ll-tube-amplifier?ref=category
1,Yellow3D,Nieuwegein,€,The 3D device and tool-set you will fall in love with!,2016-10-14,6173,61%,Blacksmith - Do More with Less!,Utrecht,Blacksmith -,https://www.kickstarter.com/projects/yellow3d/blacksmith-do-more-with-less?ref=category
